"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2021","2,628.98","2,276.97","2,889.19","2,181.93","16.66M","15.51%"
"05/23/2021","2,276.07","2,292.68","2,908.37","1,739.91","19.94M","-0.68%"
"05/16/2021","2,291.60","3,643.67","3,877.20","1,922.25","26.61M","-37.07%"
"05/09/2021","3,641.65","3,905.69","4,366.10","3,539.96","15.99M","-6.76%"
"05/02/2021","3,905.55","2,945.04","3,952.88","2,854.12","12.40M","32.63%"
"04/25/2021","2,944.66","2,217.23","2,951.74","2,169.91","10.71M","32.89%"
"04/18/2021","2,215.93","2,317.88","2,642.99","1,948.93","18.50M","-4.42%"
"04/11/2021","2,318.33","2,133.89","2,544.54","2,103.73","14.66M","8.65%"
"04/04/2021","2,133.79","2,007.82","2,197.73","1,939.64","14.71M","6.23%"
"03/28/2021","2,008.59","1,712.89","2,144.11","1,661.92","14.28M","17.26%"
"03/21/2021","1,713.01","1,804.60","1,815.85","1,546.48","11.16M","-5.08%"
"03/14/2021","1,804.60","1,921.29","1,932.36","1,715.97","9.62M","-6.07%"
"03/07/2021","1,921.13","1,650.94","1,943.36","1,634.73","10.86M","16.49%"
"02/28/2021","1,649.19","1,458.84","1,670.01","1,294.79","11.79M","13.04%"
"02/21/2021","1,458.93","1,912.97","1,974.99","1,370.45","15.77M","-23.77%"
"02/14/2021","1,913.88","1,815.44","2,040.79","1,661.09","10.99M","5.42%"
"02/07/2021","1,815.49","1,676.62","1,871.36","1,491.68","13.12M","8.28%"
"01/31/2021","1,676.63","1,377.05","1,760.09","1,272.09","14.22M","21.76%"
"01/24/2021","1,376.96","1,233.41","1,474.68","1,210.40","17.87M","11.64%"
"01/17/2021","1,233.40","1,228.33","1,437.42","1,045.02","17.28M","0.42%"
"01/10/2021","1,228.27","1,275.87","1,347.98","917.96","19.35M","-3.71%"
"01/03/2021","1,275.58","774.54","1,301.75","769.57","24.32M","64.70%"
"12/27/2020","774.50","636.35","787.26","627.12","13.07M","21.67%"
"12/20/2020","636.58","657.79","661.04","554.09","13.54M","-3.28%"
"12/13/2020","658.17","568.07","675.68","563.37","17.51M","15.92%"
"12/06/2020","567.78","596.61","606.90","530.88","112.41M","-4.84%"
"11/29/2020","596.68","537.89","635.66","530.71","246.34M","10.96%"
"11/22/2020","537.74","551.90","621.70","484.03","167.78M","-2.57%"
"11/15/2020","551.91","460.75","552.13","440.44","114.89M","19.80%"
"11/08/2020","460.70","435.39","477.78","432.44","99.07M","5.81%"
"11/01/2020","435.40","386.36","467.88","370.96","47.80M","12.68%"
"10/25/2020","386.42","412.44","417.07","374.36","36.94M","-6.19%"
"10/18/2020","411.92","368.61","420.12","367.16","61.61M","11.74%"
"10/11/2020","368.63","370.28","394.58","362.65","54.73M","-0.41%"
"10/04/2020","370.16","345.60","377.97","334.11","45.40M","7.10%"
"09/27/2020","345.60","354.26","369.10","335.91","48.18M","-2.44%"
"09/20/2020","354.25","385.33","385.39","315.54","67.78M","-8.05%"
"09/13/2020","385.25","388.06","393.96","353.85","69.03M","-0.71%"
"09/06/2020","387.98","334.91","388.12","316.69","116.20M","15.85%"
"08/30/2020","334.91","398.80","488.24","314.13","137.06M","-16.02%"
"08/23/2020","398.80","395.56","410.17","370.40","46.14M","0.82%"
"08/16/2020","395.56","432.22","444.86","379.96","53.12M","-8.47%"
"08/09/2020","432.18","396.78","443.74","367.05","59.91M","8.93%"
"08/02/2020","396.76","387.15","415.08","335.76","69.12M","2.49%"
"07/26/2020","387.14","305.32","392.37","300.33","67.80M","26.80%"
"07/19/2020","305.32","235.72","308.57","233.35","48.08M","29.51%"
"07/12/2020","235.75","239.20","245.04","230.44","47.89M","-1.44%"
"07/05/2020","239.20","229.09","248.76","223.79","56.72M","4.39%"
"06/28/2020","229.15","221.07","232.47","218.46","42.17M","3.66%"
"06/21/2020","221.06","228.87","249.23","217.11","46.55M","-3.41%"
"06/14/2020","228.86","238.23","238.48","219.06","44.84M","-3.93%"
